,0
0,Colorado
1,Georgia
2,Idaho
3,Indiana
4,Iowa
5,Kansas
6,Kentucky
7,Maine
8,Massachusetts
9,Missouri
10,Montana
11,Nebraska
12,New Hampshire
13,North Carolina
14,Oregon
15,Pennsylvania
16,South Carolina
17,Vermont
18,Wisconsin
